FID,name,code,ID
87,Lesotho,1002018426,1002018426095.000000000000000
88,Lithuania,1150154440,1150154440096.000000000000000
89,Luxembourg,1150155442,1150155442097.000000000000000
90,Latvia,1150154428,1150154428098.000000000000000
91,Moldova,1150151498,1150151498100.000000000000000
92,Madagascar,1002014450,1002014450101.000000000000000
93,Mexico,1019013484,1019013484102.000000000000000
94,Macedonia,1150039807,1150039807103.000000000000000
95,Mali,1002011466,1002011466104.000000000000000
96,Myanmar,1142035104,1142035104105.000000000000000
97,Montenegro,1150039499,1150039499106.000000000000000
98,Mongolia,1142030496,1142030496107.000000000000000
99,Mozambique,1002014508,1002014508108.000000000000000
100,Mauritania,1002011478,1002011478109.000000000000000
101,Malawi,1002014454,1002014454110.000000000000000
102,Malaysia,1142035458,1142035458111.000000000000000
103,Namibia,1002018516,1002018516112.000000000000000
104,New Caledonia,1009054540,1009054540113.000000000000000
105,Niger,1002011562,1002011562114.000000000000000
106,Nigeria,1002011566,1002011566115.000000000000000
107,Nicaragua,1019013558,1019013558116.000000000000000
108,Netherlands,1150155528,1150155528117.000000000000000
109,Norway,1150154578,1150154578118.000000000000000
110,Nepal,1142034524,1142034524119.000000000000000
111,New Zealand,1009053554,1009053554120.000000000000000
112,Oman,1142145512,1142145512121.000000000000000
113,Pakistan,1142034586,1142034586122.000000000000000
114,Panama,1019013591,1019013591123.000000000000000
115,Peru,1019005604,1019005604124.000000000000000
116,Philippines,1142035608,1142035608125.000000000000000
117,Papua New Guinea,1009054598,1009054598126.000000000000000
118,Poland,1150151616,1150151616127.000000000000000
119,Dem. Rep. Korea,1142030408,1142030408129.000000000000000
120,Portugal,1150039620,1150039620130.000000000000000
121,Paraguay,1019005600,1019005600131.000000000000000
122,Palestine,1142145275,1142145275132.000000000000000
123,Qatar,1142145634,1142145634133.000000000000000
124,Romania,1150151642,1150151642134.000000000000000
125,Russia,1150151643,1150151643135.000000000000000
126,Rwanda,1002014646,1002014646136.000000000000000
127,Saudi Arabia,1142145682,1142145682138.000000000000000
128,Senegal,1002011686,1002011686139.000000000000000
129,Solomon Is.,1009054090,1009054090140.000000000000000
130,Sierra Leone,1002011694,1002011694141.000000000000000
131,El Salvador,1019013222,1019013222142.000000000000000
132,Suriname,1019005740,1019005740146.000000000000000
133,Slovakia,1150151703,1150151703147.000000000000000
134,Slovenia,1150039705,1150039705148.000000000000000
135,Sweden,1150154752,1150154752149.000000000000000
136,Swaziland,1002018748,1002018748150.000000000000000
137,Syria,1142145760,1142145760151.000000000000000
138,Chad,1002017148,1002017148152.000000000000000
139,Togo,1002011768,1002011768153.000000000000000
140,Thailand,1142035764,1142035764154.000000000000000
141,Tajikistan,1142143762,1142143762155.000000000000000
142,Turkmenistan,1142143795,1142143795156.000000000000000
143,Timor-Leste,1142035626,1142035626157.000000000000000
144,Tunisia,1002015788,1002015788159.000000000000000
145,Turkey,1142145792,1142145792160.000000000000000
146,Taiwan,1000000158,1000000158161.000000000000000
147,Tanzania,1002014834,1002014834162.000000000000000
148,Uganda,1002014800,1002014800163.000000000000000
149,Ukraine,1150151804,1150151804164.000000000000000
150,Uruguay,1019005858,1019005858165.000000000000000
151,United States,1019021840,1019021840166.000000000000000
152,Uzbekistan,1142143860,1142143860167.000000000000000
153,Venezuela,1019005862,1019005862168.000000000000000
154,Vietnam,1142035704,1142035704169.000000000000000
155,Vanuatu,1009054548,1009054548170.000000000000000
156,Yemen,1142145887,1142145887171.000000000000000
157,South Africa,1002018710,1002018710172.000000000000000
158,Zambia,1002014894,1002014894173.000000000000000
159,Zimbabwe,1002014716,1002014716174.000000000000000
160,Sudan,1002015736,1002015736175.000000000000000
161,Angola,1002017024,1002017024176.000000000000000
162,Argentina,1019005032,1019005032177.000000000000000
163,Australia,1009053036,1009053036178.000000000000000
164,Azerbaijan,1142145031,1142145031179.000000000000000
165,Bahamas,1019029044,1019029044180.000000000000000
166,Bahamas,1019029044,1019029044181.000000000000000
167,Canada,1019021124,1019021124184.000000000000000
168,Canada,1019021124,1019021124186.000000000000000
169,Canada,1019021124,1019021124187.000000000000000
170,Canada,1019021124,1019021124188.000000000000000
171,Canada,1019021124,1019021124190.000000000000000
172,Canada,1019021124,1019021124191.000000000000000
173,Canada,1019021124,1019021124192.000000000000000
174,Canada,1019021124,1019021124193.000000000000000
175,Canada,1019021124,1019021124194.000000000000000
176,Canada,1019021124,1019021124195.000000000000000
177,Canada,1019021124,1019021124196.000000000000000
178,Canada,1019021124,1019021124197.000000000000000
179,Canada,1019021124,1019021124198.000000000000000
180,Canada,1019021124,1019021124199.000000000000000
181,Canada,1019021124,1019021124200.000000000000000
182,Canada,1019021124,1019021124201.000000000000000
183,Canada,1019021124,1019021124202.000000000000000
184,Canada,1019021124,1019021124203.000000000000000
185,Canada,1019021124,1019021124205.000000000000000
186,Canada,1019021124,1019021124206.000000000000000
187,Canada,1019021124,1019021124207.000000000000000
188,Canada,1019021124,1019021124208.000000000000000
189,Canada,1019021124,1019021124209.000000000000000
190,Canada,1019021124,1019021124210.000000000000000
191,Chile,1019005152,1019005152211.000000000000000
192,China,1142030156,1142030156212.000000000000000
193,Denmark,1150154208,1150154208213.000000000000000
194,France,1150155250,1150155250216.000000000000000
195,France,1150155250,1150155250217.000000000000000
196,United Kingdom,1150154826,1150154826218.000000000000000
197,Greece,1150039300,1150039300219.000000000000000
198,Indonesia,1142035360,1142035360220.000000000000000
199,Indonesia,1142035360,1142035360221.000000000000000
200,Indonesia,1142035360,1142035360222.000000000000000
201,Indonesia,1142035360,1142035360223.000000000000000
202,Indonesia,1142035360,1142035360224.000000000000000
203,Indonesia,1142035360,1142035360225.000000000000000
204,Indonesia,1142035360,1142035360226.000000000000000
205,Indonesia,1142035360,1142035360227.000000000000000
206,Indonesia,1142035360,1142035360228.000000000000000
207,Indonesia,1142035360,1142035360229.000000000000000
208,Indonesia,1142035360,1142035360230.000000000000000
209,Indonesia,1142035360,1142035360231.000000000000000
210,Italy,1150039380,1150039380232.000000000000000
211,Italy,1150039380,1150039380233.000000000000000
212,Japan,1142030392,1142030392234.000000000000000
213,Japan,1142030392,1142030392235.000000000000000
214,Malaysia,1142035458,1142035458236.000000000000000
215,Norway,1150154578,1150154578237.000000000000000
216,Norway,1150154578,1150154578238.000000000000000
217,Norway,1150154578,1150154578239.000000000000000
218,New Zealand,1009053554,1009053554240.000000000000000
219,Oman,1142145512,1142145512241.000000000000000
220,Philippines,1142035608,1142035608242.000000000000000
221,Philippines,1142035608,1142035608243.000000000000000
222,Philippines,1142035608,1142035608244.000000000000000
223,Philippines,1142035608,1142035608245.000000000000000
224,Philippines,1142035608,1142035608246.000000000000000
225,Philippines,1142035608,1142035608247.000000000000000
226,Papua New Guinea,1009054598,1009054598248.000000000000000
227,Papua New Guinea,1009054598,1009054598249.000000000000000
228,Papua New Guinea,1009054598,1009054598250.000000000000000
229,Russia,1150151643,1150151643251.000000000000000
230,Russia,1150151643,1150151643256.000000000000000
231,Russia,1150151643,1150151643257.000000000000000
232,Russia,1150151643,1150151643258.000000000000000
233,Russia,1150151643,1150151643259.000000000000000
234,Russia,1150151643,1150151643260.000000000000000
235,Russia,1150151643,1150151643261.000000000000000
236,Russia,1150151643,1150151643262.000000000000000
237,Solomon Is.,1009054090,1009054090263.000000000000000
238,Solomon Is.,1009054090,1009054090264.000000000000000
239,Solomon Is.,1009054090,1009054090265.000000000000000
240,Solomon Is.,1009054090,1009054090266.000000000000000
241,Turkey,1142145792,1142145792267.000000000000000
242,United States,1019021840,1019021840268.000000000000000
243,United States,1019021840,1019021840269.000000000000000
244,United States,1019021840,1019021840270.000000000000000
245,United States,1019021840,1019021840271.000000000000000
246,United States,1019021840,1019021840272.000000000000000
247,United States,1019021840,1019021840276.000000000000000
248,Vanuatu,1009054548,1009054548277.000000000000000
249,Morocco,1002015504,1002015504099.000000000000000
250,Serbia,1150039688,1150039688145.000000000000000
251,Cyprus,1142145196,1142145196039.000000000000000
252,Somalia,1002014706,1002014706144.000000000000000
